,OPEN,HIGH,LOW,CLOSE,VWAP,VOLUME,AMT,TURN,TOTAL_SHARES,FREE_FLOAT_SHARES,MKT_CAP_ARD,MKT_FREESHARES,PE_TTM,VAL_PB_WGT,DIVIDENDYIELD2
2009-05-21,2795.828,2808.287,2735.767,2750.01,12.027281731700446,8553539400.0,102875828167.0,1.8312,1965866849260.0,379252811411.0,16856290961071.0,4323831373389.319,24.123300552368164,2.7471,1.5831
2009-05-22,2733.017,2762.741,2719.121,2740.677,12.098925858028418,6149901200.0,74407198653.0,1.3152,1965866849260.0,379745050268.0,16772758629657.0,4317915630577.099,24.00379943847656,2.7334,1.583
2009-05-25,2684.213,2761.387,2675.285,2752.716,12.288670890686214,7409167100.0,91048816066.0,1.5771,1965866849260.0,382126865370.0,16850345364539.002,4418606635384.11,24.11479949951172,2.7461,1.5453
2009-05-26,2757.31,2762.809,2718.555,2719.764,12.292560557819478,7231601200.0,88894895681.0,1.5368,1967600219942.0,383863751210.0,16669950427234.002,4396073672618.5615,23.85659980773925,2.7176,1.5763
2009-05-27,2734.418,2768.568,2715.823,2759.712,11.56312526250744,6797664500.0,78602246106.0,1.4385,1968248220828.0,387231183383.0,16997501652619.0,4478702153291.979,24.32539939880371,2.7741,1.5817
2009-06-01,2798.927,2864.471,2798.927,2858.342,12.24777058590852,10856488300.0,132967778067.0,2.2946,1968587005719.0,388187093275.0,17604761656705.0,4642100937959.059,25.194499969482425,2.8861,1.489
2009-06-02,2878.528,2892.781,2855.059,2865.099,12.0116026859803,10833839700.0,130131778040.0,2.2887,1969090451873.0,388423871192.0,17605847971048.0,4658486540290.289,25.19599914550781,2.8866,1.4912
2009-06-03,2865.732,2939.387,2864.709,2939.387,11.74290171709928,11207331000.0,131606586444.0,2.3603,1970632219023.0,390011436561.0,18017664253242.0,4779408717453.924,25.785400390625,2.9552,1.4714
2009-06-04,2924.267,2961.04,2899.668,2953.751,11.816909847256976,13012771000.0,153770741770.0,2.7363,1970742483620.0,390731923939.0,17968392579216.0,4797243270030.759,25.71489906311035,2.974,1.7543
2009-06-05,2966.065,2975.175,2937.18,2939.306,12.10844722079631,10847632400.0,131347984386.0,2.2784,1972360620138.0,391393588003.0,17866660799844.0,4795995658287.39,25.569299697875977,2.9578,1.752
2009-06-08,2937.635,2978.233,2912.487,2948.478,11.916694301363828,9611636600.0,114538935098.0,2.0107,1972360624397.0,394456473409.0,18031944011676.0,4822246206362.98,25.806400299072266,2.9863,1.7257
2009-06-09,2948.949,2960.902,2892.718,2960.556,11.821670875100336,9198988600.0,108747415613.0,1.9244,1974625163399.0,394456469659.0,18196630530961.0,4849990070251.271,26.04210090637207,3.0145,1.7251
2009-06-10,2972.423,2995.699,2966.585,2989.595,11.440755119761768,10179003900.0,116455490983.0,2.1129,1979625163399.0,398188917079.0,18409872117625.0,4903495603203.16,26.347299575805664,3.044,1.7055
2009-06-11,2982.969,3000.857,2951.273,2961.629,11.695933644540624,8711599700.0,101890292029.0,1.8062,1979625163399.0,398875097086.0,18287063626784.0,4873760340076.212,26.171499252319336,3.0273,1.7615
2009-06-12,2955.569,2976.864,2883.318,2906.286,11.507297947606848,8006706700.0,92135559576.0,1.6598,1979718947043.0,399003097086.0,17932236545012.0,4783921036997.178,25.66390037536621,2.9739,1.8555
2009-06-15,2911.423,2967.099,2898.067,2966.192,12.466311951957234,7435209000.0,92689634822.0,1.5405,1979737065924.0,400095310042.0,18329084247285.0,4888295822579.049,26.231800079345703,3.0453,1.787
2009-06-16,2936.508,2979.413,2929.041,2961.22,12.814100670964784,7017924200.0,89928387200.0,1.454,1979737065924.0,400095310042.0,18232726726697.0,4882967588941.494,26.093900680541992,3.03,1.805
2009-06-17,2957.576,3017.409,2930.494,3010.588,12.930714913195764,7729311800.0,99945527361.0,1.5992,1979737066014.0,400742547899.0,18456069579472.0,4970268964097.806,26.41360092163086,3.0672,1.7168
2009-06-18,3014.437,3061.747,3014.437,3057.428,12.751915200972118,9628131600.0,122777117707.0,1.9921,1979737066014.0,400769786683.0,18808168535429.0,5040586475884.459,26.917499542236328,3.127,1.6731
2009-06-19,3061.903,3086.72,3047.27,3080.001,11.650090580227374,10251806900.0,119434478996.0,2.1176,1980073437764.0,402309184023.0,18999902567014.0,5091934999805.072,27.1919002532959,3.1589,1.4349
2009-06-22,3106.387,3116.155,3072.534,3082.563,11.802025203837408,10395258300.0,122685100457.0,2.1464,1980074804764.0,402491631480.0,19162516677967.0,5092966445927.352,27.42460060119629,3.1928,1.4582
2009-06-23,3036.404,3128.527,3028.454,3083.895,11.397946935653232,11150673400.0,127094783710.0,2.3,1980074804764.0,402997731480.0,19199792528551.0,5109653166307.784,27.4778995513916,3.2006,1.4781
